2.55	0	1	2.39	0.0497925
2.55	15	1	2.39	0.046087
2.55	30	1	2.39	0.038109
2.55	45	1	2.39	0.0296135
2.55	60	1	2.39	0.0283065
2.55	75	1	2.39	0.03346
2.55	90	1	2.39	0.042783
2.55	105	1	2.39	0.0481465
2.55	120	1	2.39	0.0489365
2.55	135	1	2.39	0.0450285
2.55	150	1	2.39	0.038422
2.55	165	1	2.39	0.033166
2.97	0	1	2.39	0.05
2.97	15	1	2.39	0.044349
2.97	30	1	2.39	0.0300865
2.97	45	1	2.39	0.0179
2.97	60	1	2.39	0.013601
2.97	75	1	2.39	0.0141775
2.97	90	1	2.39	0.0176605
2.97	105	1	2.39	0.016476
2.97	120	1	2.39	0.0134285
2.97	135	1	2.39	0.009655
2.97	150	1	2.39	0.0062975
2.97	165	1	2.39	0.0043925
4.36	0	1	2.39	0.0489645
4.36	15	1	2.39	0.043738
4.36	30	1	2.39	0.02992
4.36	45	1	2.39	0.0185875
4.36	60	1	2.39	0.0136755
4.36	75	1	2.39	0.011042
4.36	90	1	2.39	0.012033
4.36	105	1	2.39	0.013645
4.36	120	1	2.39	0.013918
4.36	135	1	2.39	0.012844
4.36	150	1	2.39	0.0110475
4.36	165	1	2.39	0.009148
5.01	0	1	2.39	0.05
5.01	15	1	2.39	0.0423755
5.01	30	1	2.39	0.028656
5.01	45	1	2.39	0.015969
5.01	60	1	2.39	0.0139215
5.01	75	1	2.39	0.0136305
5.01	90	1	2.39	0.0160235
5.01	105	1	2.39	0.0141815
5.01	120	1	2.39	0.0151275
5.01	135	1	2.39	0.019481
5.01	150	1	2.39	0.0268305
5.01	165	1	2.39	0.032941
5.26	0	1	2.39	0.05
5.26	15	1	2.39	0.0468475
5.26	30	1	2.39	0.035445
5.26	45	1	2.39	0.0247715
5.26	60	1	2.39	0.0164665
5.26	75	1	2.39	0.014553
5.26	90	1	2.39	0.016668
5.26	105	1	2.39	0.017441
5.26	120	1	2.39	0.020588
5.26	135	1	2.39	0.0247665
5.26	150	1	2.39	0.0288475
5.26	165	1	2.39	0.0307635
6.37	0	1	2.39	0.05
6.37	15	1	2.39	0.046526
6.37	30	1	2.39	0.0400625
6.37	45	1	2.39	0.0327785
6.37	60	1	2.39	0.030548
6.37	75	1	2.39	0.0290405
6.37	90	1	2.39	0.029804
6.37	105	1	2.39	0.029743
6.37	120	1	2.39	0.0291715
6.37	135	1	2.39	0.0261335
6.37	150	1	2.39	0.0233985
6.37	165	1	2.39	0.022318
