4.36	0	1	2.39	0.05
4.36	15	1	2.39	0.0420945
4.36	30	1	2.39	0.0323645
4.36	45	1	2.39	0.0354355
5.01	0	1	2.39	0.049742
5.01	15	1	2.39	0.041122
5.01	30	1	2.39	0.024512
5.01	45	1	2.39	0.0246545
5.01	60	1	2.39	0.02209
5.01	75	1	2.39	0.017589
5.01	90	1	2.39	0.0111595
5.01	105	1	2.39	0.008721
5.26	0	1	2.39	0.0340315
5.26	15	1	2.39	0.043266
5.26	30	1	2.39	0.05
5.26	45	1	2.39	0.040932
5.26	60	1	2.39	0.0258305
5.26	75	1	2.39	0.015578
5.26	90	1	2.39	0.0104225
5.26	105	1	2.39	0.0128665
5.26	120	1	2.39	0.0119125
5.26	135	1	2.39	0.0161975
6.37	0	1	2.39	0.012467
6.37	15	1	2.39	0.031905
6.37	30	1	2.39	0.05
6.37	45	1	2.39	0.0439015
6.37	60	1	2.39	0.033346
6.37	75	1	2.39	0.021104
6.37	90	1	2.39	0.012757
6.37	105	1	2.39	0.01052
6.37	120	1	2.39	0.013867
6.37	135	1	2.39	0.016178
6.37	150	1	2.39	0.0210875
6.37	165	1	2.39	0.0192445
